period,pr_group,ref_pattern,reviewer,test_location,url
January,incl_ref_for_test,other,Reviewer3,https://github.com/palantir/atlasdb/pull/4878/files#diff-4c0549920c59029b23d72664074adfe7e8983a978958533cacf276b759d4eb3fR47,https://github.com/palantir/atlasdb/pull/4878
January,irrelevant,irrelevant,Reviewer3,,https://github.com/jcabi/jcabi-http/pull/118
January,irrelevant,irrelevant,Reviewer3,,https://github.com/tomakehurst/wiremock/pull/1005
January,irrelevant,irrelevant,Reviewer3,,https://github.com/PegaSysEng/pantheon/pull/1284
January,irrelevant,irrelevant,Reviewer3,https://github.com/line/armeria/pull/964/files#diff-a063dc5a44bc921f5226f4597ab04f90ca8ae154d1d5a1b1fac030bfe97dbf93R57,https://github.com/line/armeria/pull/964
January,incl_ref_for_test,other,Reviewer3,https://github.com/linkedin/ambry/pull/242/files#diff-554d944f3bc88157f7137df89a51895f3fbfb1165038fa279f904e4fe0485c9aR75,https://github.com/linkedin/ambry/pull/242
January,incl_ref_for_test,add_constructor_param,Reviewer3,https://github.com/Adobe-Consulting-Services/acs-aem-commons/pull/1445/files#diff-a996943049d7074bf2ef1dd04436c11de90418fc3e4de8457e051624dc30132cR78,https://github.com/Adobe-Consulting-Services/acs-aem-commons/pull/1445
January,irrelevant,irrelevant,Reviewer3,https://github.com/codice/ddf/pull/726/files#diff-c00a10eecd79a850a24d22a1bbc1d3cdcbaef35d78e349345309b521c3383437R123,https://github.com/codice/ddf/pull/726
January,irrelevant,irrelevant,Reviewer2,,https://github.com/jaegertracing/jaeger-client-java/pull/694
January,irrelevant,irrelevant,Reviewer2,,https://github.com/neo4j-contrib/neo4j-graph-algorithms/pull/173
January,irrelevant,irrelevant,Reviewer2,https://github.com/Netflix/Hystrix/pull/1039/files#diff-871e3841ba74f85c142d4cf22f3040dc3f2fc82dc32ca3c37ca784506461e247R57,https://github.com/Netflix/Hystrix/pull/1039
January,irrelevant,irrelevant,Reviewer2,,https://github.com/facebook/rocksdb/pull/1167
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/kafka/pull/4382
January,irrelevant,irrelevant,Reviewer2,,https://github.com/pentaho/pentaho-metaverse/pull/15
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/rocketmq/pull/220
January,irrelevant,irrelevant,Reviewer2,,https://github.com/grpc/grpc-java/pull/386
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/bookkeeper/pull/1607
January,irrelevant,irrelevant,Reviewer2,,https://github.com/quarkusio/quarkus/pull/8676
January,incl_ref_for_test,extract_method_for_invocation,Reviewer2,https://github.com/linkedin/dr-elephant/pull/496/files#diff-7779e09b0c551d9871e63bd2403686f1d09f7200a9ad64e433251b10c8fe232eR87,https://github.com/linkedin/dr-elephant/pull/496
January,irrelevant,irrelevant,Reviewer3,,https://github.com/Netflix/Hystrix/pull/742
January,irrelevant,irrelevant,Reviewer3,,https://github.com/linkedin/ambry/pull/708
January,irrelevant,irrelevant,Reviewer3,,https://github.com/apache/zeppelin/pull/3416
January,irrelevant,irrelevant,Reviewer3,,https://github.com/STAMP-project/dspot/pull/607
January,irrelevant,irrelevant,Reviewer3,,https://github.com/pentaho/pentaho-kettle/pull/421
January,irrelevant,irrelevant,Reviewer3,,https://github.com/dropwizard/dropwizard/pull/677
January,irrelevant,irrelevant,Reviewer3,,https://github.com/square/wire/pull/617
January,irrelevant,irrelevant,Reviewer3,,https://github.com/kiegroup/appformer/pull/848
January,irrelevant,irrelevant,Reviewer3,,https://github.com/hazelcast/hazelcast/pull/4861
January,irrelevant,irrelevant,Reviewer3,,https://github.com/enonic/xp/pull/5860
January,irrelevant,irrelevant,Reviewer3,,https://github.com/ikasanEIP/ikasan/pull/111
January,incl_ref_for_test,other,Reviewer3,https://github.com/googleapis/gax-java/pull/117/files#diff-9f172d3196abce0b8ed11a51feaa944de65978440f68763039023c12140a1cc7R405,https://github.com/googleapis/gax-java/pull/117
January,irrelevant,irrelevant,Reviewer3,,https://github.com/threerings/getdown/pull/136
January,irrelevant,irrelevant,Reviewer3,,https://github.com/jcabi/jcabi-http/pull/221
January,irrelevant,irrelevant,Reviewer3,,https://github.com/pinpoint-apm/pinpoint/pull/604
January,only_ref_for_test,other,Reviewer3,,https://github.com/eclipse-archived/smarthome/pull/6160
January,incl_ref_for_test,extract_class_for_override,Reviewer3,https://github.com/geoserver/geoserver/pull/1910/files#diff-d097cae3cdd1ec4fddd8cf836dfa7f20bcbe76936d0550f6331a126e61ef7c53R22,https://github.com/geoserver/geoserver/pull/1910
January,irrelevant,irrelevant,Reviewer3,,https://github.com/pinpoint-apm/pinpoint/pull/5093
January,incl_ref_for_test,other,Reviewer3,https://github.com/geoserver/geoserver/pull/1911/files#diff-d097cae3cdd1ec4fddd8cf836dfa7f20bcbe76936d0550f6331a126e61ef7c53R22,https://github.com/geoserver/geoserver/pull/1911
January,irrelevant,irrelevant,Reviewer3,,https://github.com/networknt/light-4j/pull/282
January,irrelevant,irrelevant,Reviewer3,,https://github.com/pentaho/pdi-sdk-plugins/pull/63
January,irrelevant,irrelevant,Reviewer3,,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/2963
January,irrelevant,irrelevant,Reviewer3,,https://github.com/line/armeria/pull/1222
January,irrelevant,irrelevant,Reviewer3,,https://github.com/unic/neba/pull/273
January,irrelevant,irrelevant,Reviewer3,,https://github.com/JakeWharton/butterknife/pull/59
January,irrelevant,irrelevant,Reviewer3,,https://github.com/JakeWharton/butterknife/pull/35
January,irrelevant,irrelevant,Reviewer3,,https://github.com/thorntail/thorntail/pull/133
January,irrelevant,irrelevant,Reviewer3,,https://github.com/linkedin/ambry/pull/938
January,irrelevant,irrelevant,Reviewer3,,https://github.com/pentaho/pentaho-metaverse/pull/602
January,irrelevant,irrelevant,Reviewer3,,https://github.com/pentaho/pentaho-kettle/pull/2000
January,irrelevant,irrelevant,Reviewer3,,https://github.com/square/wire/pull/782
January,irrelevant,irrelevant,Reviewer3,,https://github.com/pentaho/pentaho-kettle/pull/854
January,irrelevant,irrelevant,Reviewer3,,https://github.com/enonic/xp/pull/2224
January,irrelevant,irrelevant,Reviewer3,,https://github.com/palantir/atlasdb/pull/3660
January,irrelevant,irrelevant,Reviewer2,,https://github.com/square/okhttp/pull/71
January,irrelevant,irrelevant,Reviewer2,,https://github.com/k9mail/k-9/pull/1307
January,irrelevant,irrelevant,Reviewer2,,https://github.com/line/armeria/pull/1971
January,irrelevant,irrelevant,Reviewer2,,https://github.com/qos-ch/logback/pull/401
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/kafka/pull/3574
January,irrelevant,irrelevant,Reviewer2,,https://github.com/graknlabs/grakn/pull/2498
January,irrelevant,irrelevant,Reviewer2,,https://github.com/bugsnag/bugsnag-android/pull/295
January,irrelevant,irrelevant,Reviewer2,,https://github.com/arangodb/arangodb-java-driver/pull/276
January,irrelevant,irrelevant,Reviewer2,,https://github.com/atlasapi/atlas/pull/1355
January,irrelevant,irrelevant,Reviewer2,,https://github.com/mybatis/mybatis-3/pull/1068
January,irrelevant,irrelevant,Reviewer2,,https://github.com/getsentry/sentry-java/pull/24
January,irrelevant,irrelevant,Reviewer2,,https://github.com/NationalSecurityAgency/datawave/pull/675
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/rocketmq/pull/582
January,irrelevant,irrelevant,Reviewer2,,https://github.com/grpc/grpc-java/pull/7533
January,irrelevant,irrelevant,Reviewer2,,https://github.com/Netflix/titus-control-plane/pull/769
January,irrelevant,irrelevant,Reviewer2,,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/154
January,irrelevant,irrelevant,Reviewer2,,https://github.com/dropwizard/metrics/pull/1566
January,irrelevant,irrelevant,Reviewer2,,https://github.com/java-native-access/jna/pull/446
January,irrelevant,irrelevant,Reviewer2,,https://github.com/Terracotta-OSS/terracotta-core/pull/182
January,incl_ref_for_test,other,Reviewer2,https://github.com/apache/druid/pull/2878/files#diff-a94425c85bb4e8059615bd3f9285014200623e52d9ad7a86b48bded3410259f4R84,https://github.com/apache/druid/pull/2878
January,irrelevant,irrelevant,Reviewer2,,https://github.com/azkaban/azkaban/pull/1366
January,irrelevant,irrelevant,Reviewer2,,https://github.com/Terracotta-OSS/terracotta-core/pull/703
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/druid/pull/1760
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/tinkerpop/pull/226
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/kafka/pull/3140
January,irrelevant,irrelevant,Reviewer2,,https://github.com/grpc/grpc-java/pull/792
January,only_ref_for_test,other,Reviewer2,https://github.com/Alluxio/alluxio/pull/3783/files#diff-e6bedaff0ccf307d6c18921e16bc7ec34518746f69c66ef222a18ff8be9b854eR48,https://github.com/Alluxio/alluxio/pull/3783
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/druid/pull/3943
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/maven/pull/13
January,irrelevant,irrelevant,Reviewer2,,https://github.com/everit-org/json-schema/pull/384
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/storm/pull/1673
January,irrelevant,irrelevant,Reviewer2,,https://github.com/togglz/togglz/pull/339
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/kafka/pull/2389
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/camel/pull/445
January,irrelevant,irrelevant,Reviewer2,,https://github.com/square/wire/pull/11
January,irrelevant,irrelevant,Reviewer2,,https://github.com/azkaban/azkaban/pull/1760
January,irrelevant,irrelevant,Reviewer2,,https://github.com/camunda/camunda-bpm-spring-boot-starter/pull/79
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/attic-apex-core/pull/563
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/skywalking/pull/4995
January,irrelevant,irrelevant,Reviewer2,,https://github.com/antlr/antlr4/pull/1945
January,irrelevant,irrelevant,Reviewer2,,https://github.com/Sage-Bionetworks/Synapse-Repository-Services/pull/704
January,incl_ref_for_test,other,Reviewer2,https://github.com/Adobe-Consulting-Services/acs-aem-commons/pull/1088/files#diff-ecc3274cc205759605b9f50f62e7253014a15c969c9f56a78c2a0377df5fe6caR37,https://github.com/Adobe-Consulting-Services/acs-aem-commons/pull/1088
January,incl_ref_for_test,other,Reviewer2,https://github.com/Adobe-Consulting-Services/acs-aem-commons/pull/1088/files#diff-2c54f09d862d21aa99adc47d3820bbfa772a5e4c8ac54079fdd518398241bbd5R51,https://github.com/Adobe-Consulting-Services/acs-aem-commons/pull/1088
January,irrelevant,irrelevant,Reviewer2,modules/core/core-content/src/main/java/com/enonic/xp/core/impl/content/ContentOutboundDependenciesIdsResolver.java,https://github.com/enonic/xp/pull/4019
January,irrelevant,irrelevant,Reviewer2,,https://github.com/census-instrumentation/opencensus-java/pull/199
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/commons-text/pull/25
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/kafka/pull/5007
January,irrelevant,irrelevant,Reviewer2,,https://github.com/jcabi/jcabi-http/pull/83
January,irrelevant,irrelevant,Reviewer2,,https://github.com/GoogleCloudPlatform/cloud-opensource-java/pull/808
January,irrelevant,irrelevant,Reviewer2,,https://github.com/jenkinsci/jira-plugin/pull/161
January,irrelevant,irrelevant,Reviewer2,,https://github.com/jchambers/pushy/pull/599
January,irrelevant,irrelevant,Reviewer2,,https://github.com/knowm/XChange/pull/988
January,irrelevant,irrelevant,Reviewer2,,https://github.com/windup/windup/pull/1395
January,irrelevant,irrelevant,Reviewer2,,https://github.com/pentaho/pentaho-platform-plugin-reporting/pull/384
January,irrelevant,irrelevant,Reviewer2,,https://github.com/mockito/mockito/pull/983
January,irrelevant,irrelevant,Reviewer2,,https://github.com/folio-org/okapi/pull/1009
January,irrelevant,irrelevant,Reviewer2,,https://github.com/folio-org/okapi/pull/828
January,irrelevant,irrelevant,Reviewer2,,https://github.com/WPIRoboticsProjects/GRIP/pull/52
January,irrelevant,irrelevant,Reviewer2,,https://github.com/rsksmart/rskj/pull/1330
January,irrelevant,irrelevant,Reviewer2,https://github.com/Graylog2/graylog2-server/pull/5589/files#diff-bdda79d493bc69d3a3fb1bed0cb8500fa0c04569287722a0ab423d0b5d8e0bc2R337,https://github.com/Graylog2/graylog2-server/pull/5589
January,irrelevant,irrelevant,Reviewer2,https://github.com/microsoft/appcenter-sdk-android/pull/1351/files#diff-2bf3410a24308f47c09d1ce75f85cd98024c1a5629b786d3be796c3d9aa6717bR603,https://github.com/microsoft/appcenter-sdk-android/pull/1351
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/maven/pull/123
January,incl_ref_for_test,extract_method_for_invocation,Reviewer2,https://github.com/apache/zeppelin/pull/1769/files#diff-7c3fc048b9edf203141d2efae204cc4f747ef713b3ccd83c3185b06e058e4c06R32,https://github.com/apache/zeppelin/pull/1769
January,irrelevant,irrelevant,Reviewer2,,https://github.com/enonic/xp/pull/3979
January,incl_ref_for_test,other,Reviewer2,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/909/files#diff-17ef0b508275ccbafb642dbd103b0c16bcef1a49004eee2f74691e0677243ea5R235,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/909
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/maven/pull/121
January,irrelevant,irrelevant,Reviewer2,,https://github.com/SonarSource/sonar-java/pull/1238
January,irrelevant,irrelevant,Reviewer3,,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/432
January,irrelevant,irrelevant,Reviewer3,,https://github.com/web3j/web3j/pull/787
January,irrelevant,irrelevant,Reviewer3,,https://github.com/eclipse/jetty.project/pull/2493
January,irrelevant,irrelevant,Reviewer3,,https://github.com/grpc/grpc-java/pull/4649
January,irrelevant,irrelevant,Reviewer3,,https://github.com/Netflix/titus-control-plane/pull/197
January,irrelevant,irrelevant,Reviewer3,,https://github.com/HaraldWalker/user-agent-utils/pull/78
January,irrelevant,irrelevant,Reviewer3,,https://github.com/HaraldWalker/user-agent-utils/pull/112
January,incl_ref_for_test,extract_class_for_invocation,Reviewer3,https://github.com/yegor256/takes/pull/539/files#diff-43465e1cb115125a5bbd685ab728a26e4b73830b39e4d40daf2e471d1f813edfR63,https://github.com/yegor256/takes/pull/539
January,irrelevant,irrelevant,Reviewer3,,https://github.com/k9mail/k-9/pull/567
January,irrelevant,irrelevant,Reviewer3,,https://github.com/commons-app/apps-android-commons/pull/2184
January,irrelevant,irrelevant,Reviewer3,,https://github.com/dropwizard/dropwizard/pull/2925
January,irrelevant,irrelevant,Reviewer3,,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/322
January,irrelevant,irrelevant,Reviewer3,,https://github.com/spotify/docker-client/pull/306
January,incl_ref_for_test,other,Reviewer3,,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/483
January,incl_ref_for_test,other,Reviewer3,https://github.com/ConsenSys/tessera/pull/156/files#diff-b0bb1c9c2baff7f822b23cea9ebe8f27630bc5ab4723d2d59ad40e2f4d72d512R61,https://github.com/ConsenSys/tessera/pull/156
January,irrelevant,irrelevant,Reviewer3,,https://github.com/WPIRoboticsProjects/GRIP/pull/30
January,irrelevant,irrelevant,Reviewer3,,https://github.com/geoserver/geoserver/pull/3234
January,irrelevant,irrelevant,Reviewer3,,https://github.com/eclipse-vertx/vert.x/pull/3107
January,irrelevant,irrelevant,Reviewer3,,https://github.com/grpc/grpc-java/pull/4345
January,irrelevant,irrelevant,Reviewer3,,https://github.com/grpc/grpc-java/pull/3969
January,irrelevant,irrelevant,Reviewer3,,https://github.com/jitsi/ice4j/pull/92
January,irrelevant,irrelevant,Reviewer3,,https://github.com/rsksmart/rskj/pull/729
January,irrelevant,irrelevant,Reviewer3,,https://github.com/GoogleCloudPlatform/appengine-plugins-core/pull/520
January,irrelevant,irrelevant,Reviewer3,,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/672
January,irrelevant,irrelevant,Reviewer3,,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/247
January,irrelevant,irrelevant,Reviewer3,,https://github.com/ConsenSys/tessera/pull/346
January,irrelevant,irrelevant,Reviewer3,,https://github.com/Sage-Bionetworks/Synapse-Repository-Services/pull/3284
January,irrelevant,irrelevant,Reviewer3,,https://github.com/eclipse/jetty.project/pull/3365
January,irrelevant,irrelevant,Reviewer3,,https://github.com/jenkinsci/ec2-plugin/pull/447
January,incl_ref_for_test,create_constructor,Reviewer3,https://github.com/dropwizard/dropwizard/pull/2317/files#diff-ea9702e608c027f4c9cea4297e63a04b9ab392a4d93f93022905e9f4e57e6f72R30,https://github.com/dropwizard/dropwizard/pull/2317
January,irrelevant,irrelevant,Reviewer3,,https://github.com/linkedin/ambry/pull/1601
January,irrelevant,irrelevant,Reviewer3,,https://github.com/floodlight/floodlight/pull/60
January,irrelevant,irrelevant,Reviewer3,,https://github.com/stellar/java-stellar-sdk/pull/202
January,irrelevant,irrelevant,Reviewer3,,https://github.com/linkedin/ambry/pull/1611
January,irrelevant,irrelevant,Reviewer3,,https://github.com/square/okhttp/pull/2850
January,irrelevant,irrelevant,Reviewer3,,https://github.com/confluentinc/ksql/pull/2837
January,irrelevant,irrelevant,Reviewer3,,https://github.com/square/okhttp/pull/2875
January,irrelevant,irrelevant,Reviewer3,,https://github.com/zeromq/jzmq/pull/162
January,incl_ref_for_test,widen_access_for_invocation,Reviewer3,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/2402/files#diff-5f2a09c8023c848cdbb8b04e3ae7a7f51e02ff4d4262e7be24180ed0124f07ceR64,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/2402
January,only_ref_for_test,other,Reviewer3,https://github.com/yegor256/cactoos/pull/701/files#diff-a2ebfd7e276a523a51507eda58428ebe94551df01ee3ea154b030142c0330709R86,https://github.com/yegor256/cactoos/pull/701
January,irrelevant,irrelevant,Reviewer3,,https://github.com/line/armeria/pull/2152
